# stations et liens du métro parisien
# format : V num sommet lat long num_ligne nom_sommet
#          E num_sommet1 num_sommet1 temps_en_secondes
V 0153 886 325 13 La_Fourche
V 0154 848 298 10 La_Motte Picquet,_Grenelle
V 0155 848 298 06 La_Motte Picquet,_Grenelle
V 0156 848 298 08 La_Motte Picquet,_Grenelle
V 0157 857 274 09 La_Muette
V 0158 857 310 08 La_Tour-Maubourg
V 0159 889 338 12 Lamarck_Caulaincourt
V 0160 885 379 05 Laumière
V 0161 810 362 07 Le_Kremlin-Bicêtre
V 0162 874 340 07 Le_Peletier
V 0163 851 376 08 Ledru_Rollin
V 0164 835 352 07 Les_Gobelins
V 0165 862 346 04 Les_Halles
V 0166 880 272 01 Les_Sablons
V 0167 826 406 08 Liberté
V 0168 879 327 13 Liège
V 0169 881 366 07 Louis_Blanc
V 0170 881 366 7b Louis_Blanc
V 0171 888 288 03 Louise_Michel
V 0172 838 282 08 Lourmel
V 0173 860 341 01 Louvre,_Rivoli
V 0174 852 334 10 Mabillon
V 0175 869 325 12 Madeleine
V 0176 869 325 14 Madeleine
V 0177 869 325 08 Madeleine
V 0178 824 273 12 Mairie_d'Issy
V 0179 810 383 07 Mairie_d'Ivry
V 0180 903 305 13 Mairie_de_Clichy
V 0181 862 441 09 Mairie_de_Montreuil
V 0182 912 334 13 Mairie_de_Saint-Ouen
V 0183 879 416 11 Mairie_des_Lilas
V 0184 822 358 07 Maison_Blanche
V 0185 803 445 08 Maisons-Alfort_les_Juilliottes
V 0186 809 434 08 Maisons-Alfort,_Stade
V 0187 822 298 13 Malakoff-Plateau_de_Vanves
V 0188 815 296 13 Malakoff-Rue_Étienne_Dolet
V 0189 882 309 03 Malesherbes
V 0190 852 406 09 Maraîchers
V 0191 891 349 12 Marcadet_Poissonniers
V 0192 891 349 04 Marcadet_Poissonniers
V 0193 833 243 09 Marcel_Sembat
V 0194 890 359 12 Marx_Dormoy
V 0195 850 348 10 Maubert_Mutualité
V 0196 847 264 10 Michel_Ange_Auteuil
V 0197 847 264 09 Michel_Ange_Auteuil
V 0198 845 261 10 Michel_Ange_Molitor
V 0199 845 261 09 Michel_Ange_Molitor
V 0200 837 402 08 Michel_Bizot
V 0201 846 271 10 Mirabeau
V 0202 873 314 13 Miromesnil
V 0203 873 314 09 Miromesnil
V 0204 880 308 02 Monceau
V 0205 844 390 08 Montgallet
V 0206 842 321 12 Montparnasse_Bienvenue
V 0207 842 321 13 Montparnasse_Bienvenue
V 0208 842 321 04 Montparnasse_Bienvenue
V 0209 842 321 06 Montparnasse_Bienvenue
V 0210 831 329 04 Mouton-Duvernet
V 0211 866 383 02 Ménilmontant
V 0212 847 395 01 Nation
V 0213 847 395 02 Nation
V 0214 847 395 06 Nation
V 0215 847 395 09 Nation
V 0216 833 362 06 Nationale
V 0217 875 338 12 Notre_Dame_de_Lorette
V 0218 844 328 12 Notre-Dame-des-Champs
V 0219 864 369 05 Oberkampf
V 0220 864 369 09 Oberkampf
V 0221 852 339 10 Odéon
V 0222 852 339 04 Odéon
V 0223 870 332 03 Opéra
V 0224 870 332 07 Opéra
V 0225 870 332 08 Opéra
V 0226 887 386 05 Ourcq
V 0227 862 336 01 Palais_Royal,_Musée_du_Louvre
V 0228 862 336 07 Palais_Royal,_Musée_du_Louvre
V 0229 865 379 03 Parmentier
V 0230 857 285 06 Passy
V 0231 842 312 12 Pasteur
V 0232 842 312 06 Pasteur
V 0233 868 401 3b Pelleport
V 0234 834 318 13 Pernety
V 0235 858 390 02 Philippe-Auguste
V 0236 845 401 06 Picpus
V 0237 815 377 07 Pierre_Curie
V 0238 882 338 12 Pigalle
V 0239 882 338 02 Pigalle
V 0240 836 278 08 Place_Balard
V 0241 842 352 07 Place_Monge
V 0242 830 355 05 Place_d'Italie
V 0243 830 355 06 Place_d'Italie
V 0244 830 355 07 Place_d'Italie
V 0245 883 327 13 Place_de_Clichy
V 0246 883 327 02 Place_de_Clichy
V 0247 876 393 11 Place_des_Fêtes
V 0248 876 393 7b Place_des_Fêtes
V 0249 831 314 13 Plaisance
V 0250 877 348 07 Poissonnière
V 0251 897 280 03 Pont_de_Levallois,_Bécon
V 0252 884 261 01 Pont_de_Neuilly
V 0253 829 230 09 Pont_de_Sèvres
V 0254 853 356 07 Pont-Marie
V 0255 858 341 07 Pont-Neuf
V 0256 871 277 02 Porte_Dauphine
V 0257 835 406 08 Porte_Dorée
V 0258 877 281 01 Porte_Maillot
V 0259 847 258 10 Porte_d'Auteuil
V 0260 819 359 07 Porte_d'Italie
V 0261 821 370 07 Porte_d'Ivry
V 0262 823 325 04 Porte_d'Orléans
V 0263 863 408 03 Porte_de_Bagnolet
V 0264 885 293 03 Porte_de_Champerret
V 0265 832 399 08 Porte_de_Charenton
V 0266 820 364 07 Porte_de_Choisy
V 0267 894 314 13 Porte_de_Clichy
V 0268 897 344 04 Porte_de_Clignancourt
V 0269 853 410 09 Porte_de_Montreuil
V 0270 888 392 05 Porte_de_Pantin
V 0271 837 256 09 Porte_de_Saint-Cloud
V 0272 897 328 13 Porte_de_Saint-Ouen
V 0273 827 306 13 Porte_de_Vanves
V 0274 832 287 12 Porte_de_Versailles
V 0275 847 408 01 Porte_de_Vincennes
V 0276 898 358 12 Porte_de_la_Chapelle
V 0277 897 386 07 Porte_de_la_Villette
V 0278 876 406 11 Porte_des_Lilas
V 0279 876 406 3b Porte_des_Lilas
V 0280 879 399 7b Pré-Saint-Gervais
V 0281 865 334 14 Pyramides
V 0282 865 334 07 Pyramides
V 0283 873 385 11 Pyrénées
V 0284 862 387 02 Père_Lachaise
V 0285 862 387 03 Père_Lachaise
V 0286 884 298 03 Péreire
V 0287 837 372 06 Quai_de_la_Gare
V 0288 846 365 05 Quai_de_la_Rapée
V 0289 869 335 03 Quatre_Septembre
V 0290 861 353 11 Rambuteau
V 0291 855 270 09 Ranelagh
V 0292 838 330 04 Raspail
V 0293 838 330 06 Raspail
V 0294 848 327 12 Rennes
V 0295 847 386 01 Reuilly_Diderot
V 0296 847 386 08 Reuilly_Diderot
V 0297 860 372 05 Richard_Lenoir
V 0298 871 339 08 Richelieu_Drouot
V 0299 871 339 09 Richelieu_Drouot
V 0300 888 374 07 Riquet
V 0301 855 423 09 Robespierre
V 0302 882 321 02 Rome
V 0303 871 343 09 Rue_Montmartre,_Grands_Boulevards
V 0304 871 343 08 Rue_Montmartre,_Grands_Boulevards
V 0305 864 379 03 Rue_Saint-Maur
V 0306 864 278 09 Rue_de_la_Pompe
V 0307 852 388 09 Rue_des_Boulets
V 0308 855 325 12 Rue_du_Bac
V 0309 866 352 03 Réaumur_Sébastopol
V 0310 866 352 04 Réaumur_Sébastopol
V 0311 868 365 11 République
V 0312 868 365 03 République
V 0313 868 365 05 République
V 0314 868 365 08 République
V 0315 868 365 09 République
V 0316 861 374 09 Saint-Ambroise
V 0317 874 321 09 Saint-Augustin
V 0318 929 356 13 Saint-Denis-Porte_de_Paris
V 0319 945 364 13 Saint-Denis-Université
V 0320 871 404 3b Saint-Fargeau
V 0321 851 314 13 Saint-Francois_Xavier
V 0322 878 337 12 Saint-Georges
V 0323 853 334 04 Saint-Germain-des-Prés
